date,portfolio_id,nome_empresa,categoria,asset_id,quantity,unit_value,purchase_value,transaction_type_id
2022-12-21,,Nome-Empresa,Ações,ITSA4.SA,58.0,8.39,486.62,Compra
2023-02-09,,Nome-Empresa,Ações,SAPR4.SA,28.0,3.47,97.16,Compra
2023-02-09,,Nome-Empresa,Ações,CPLE6.SA,13.0,7.53,97.89,Compra
2023-02-14,,Nome-Empresa,Ações,BBAS3.SA,7.0,40.59,284.13,Compra
2023-02-13,,Nome-Empresa,Ações,BBDC3.SA,25.0,11.59,289.75,Compra
2023-02-14,,Nome-Empresa,Ações,BBSE3.SA,8.0,36.34,290.72,Compra
2023-02-14,,Nome-Empresa,FII,BRCO11.SA,1.0,93.12,93.12,Compra
2023-02-14,,Nome-Empresa,FII,HGCR11.SA,1.0,99.81,99.81,Compra
2023-02-14,,Nome-Empresa,FII,IRDM11.SA,1.0,88.68,88.68,Compra
2023-02-14,,Nome-Empresa,Ações,ITUB3.SA,13.0,22.7,295.1,Compra
2023-02-14,,Nome-Empresa,Ações,VALE3.SA,3.0,86.7,260.1,Compra
2023-02-14,,Nome-Empresa,Ações,WEGE3.SA,7.0,38.58,270.06,Compra
2023-03-09,,Nome-Empresa,FII,BCRI11.SA,3.0,86.15,258.45000000000005,Compra
2023-03-09,,Nome-Empresa,FII,PORD11.SA,3.0,85.94,257.82,Compra
2023-03-09,,Nome-Empresa,FII,MXRF11.SA,46.0,10.23,470.58,Compra
2023-07-10,,Nome-Empresa,FII,MXRF11.SA,9.0,10.67,96.03,Compra
2023-07-04,,Nome-Empresa,FII,HABT11.SA,10.0,95.11,951.1,Compra
2023-08-04,,Nome-Empresa,FII,JPPA11.SA,10.0,98.55,985.5,Compra
2023-08-04,,Nome-Empresa,FII,VGIR11.SA,100.0,9.82,982.0,Compra
2023-08-04,,Nome-Empresa,FII,MXRF11.SA,100.0,10.67,1067.0,Compra
2023-08-04,,Nome-Empresa,FII,OUJP11.SA,10.0,100.3,1003.0,Compra
2023-11-23,,Nome-Empresa,FII,GALG11.SA,52.0,9.42,489.84,Compra
2023-11-23,,Nome-Empresa,FII,MXRF11.SA,50.0,10.94,547.0,Compra
2023-11-23,,Nome-Empresa,Ações,SAPR4.SA,28.0,5.13,143.64,Venda
2023-11-23,,Nome-Empresa,Ações,VALE3.SA,3.0,74.23,222.69,Venda
2023-11-23,,Nome-Empresa,Ações,WEGE3.SA,7.0,33.93,237.51,Venda
2023-11-27,,Nome-Empresa,FII,KNCR11.SA,5.0,102.42,512.1,Compra
2023-11-28,,Nome-Empresa,FII,JPPA11.SA,2.0,91.13,182.26,Compra
2023-11-28,,Nome-Empresa,FII,HABT11.SA,3.0,87.4,262.20000000000005,Compra
